# Reference      Predicted      Error          #atoms         
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
-52.37790       -52.37790       0.00000         8.00000        
-50.25589       -50.25589       0.00000         8.00000        
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
-52.37790       -52.37790       0.00000         8.00000        
-50.25589       -50.25589       0.00000         8.00000        
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
-52.37790       -52.37790       0.00000         8.00000        
-50.25589       -50.25589       0.00000         8.00000        
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
-52.37790       -52.37790       0.00000         8.00000        
-50.25589       -50.25589       0.00000         8.00000        
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
-52.37790       -52.37790       0.00000         8.00000        
-50.25589       -50.25589       0.00000         8.00000        
-42.30747       -42.30747       0.00000         8.00000        
-58.19797       -58.19797       0.00000         8.00000        
-56.46936       -56.46936       0.00000         8.00000        
-50.12865       -50.12865       0.00000         8.00000        
-61.53540       -61.53540       0.00000         8.00000        
-60.09648       -60.09648       0.00000         8.00000        
-54.91944       -54.91944       0.00000         8.00000        
-43.61401       -43.61401       0.00000         8.00000        
-63.12404       -63.12404       0.00000         8.00000        
-61.89902       -61.89902       0.00000         8.00000        
-57.56891       -57.56891       0.00000         8.00000        
-48.01680       -48.01680       0.00000         8.00000        
-63.49033       -63.49033       0.00000         8.00000        
-62.42336       -62.42336       0.00000         8.00000        
-58.71272       -58.71272       0.00000         8.00000        
-50.43412       -50.43412       0.00000         8.00000        
-63.00995       -63.00995       0.00000         8.00000        
-62.05964       -62.05964       0.00000         8.00000        
-58.80691       -58.80691       0.00000         8.00000        
-51.45696       -51.45696       0.00000         8.00000        
-61.95181       -61.95181       0.00000         8.00000        
-61.08958       -61.08958       0.00000         8.00000        
-58.17834       -58.17834       0.00000         8.00000        
-51.50985       -51.50985       0.00000         8.00000        
-60.52106       -60.52106       0.00000         8.00000        
-59.72748       -59.72748       0.00000         8.00000        
-57.06682       -57.06682       0.00000         8.00000        
-50.89600       -50.89600       0.00000         8.00000        
-58.86842       -58.86842       0.00000         8.00000        
-58.11855       -58.11855       0.00000         8.00000        
-55.63612       -55.63612       0.00000         8.00000        
-49.82733       -49.82733       0.00000         8.00000        
# MSE = 1.58903E-19
# Maxerror = 1.11827E-09
