# Reference      Predicted      Error          
-7.39595        -7.42074        0.02479        
-20.35447       -20.39083       0.03637        
18.70652        18.75625        0.04973        
2.59512         2.58981         0.00531        
15.64820        15.73867        0.09047        
-3.16546        -3.13823        0.02723        
8.89158         8.83837         0.05322        
-25.24517       -25.04820       0.19697        
-11.56887       -11.42765       0.14122        
-33.89473       -34.32428       0.42955        
22.16768        22.28776        0.12009        
1.32468         1.15074         0.17394        
37.22899        37.43592        0.20692        
1.09585         1.08735         0.00850        
10.64677        10.58458        0.06220        
-38.83567       -39.03349       0.19782        
-19.01167       -19.22130       0.20962        
-68.75806       -66.04565       2.71240        
26.47623        26.02428        0.45196        
0.45765         0.53853         0.08088        
82.97695        80.95739        2.01957        
6.04779         6.19567         0.14788        
3.16929         3.10082         0.06847        
-1.79560        -1.74960        0.04600        
-1.79560        -1.74960        0.04600        
-6.76031        -6.59956        0.16075        
6.76031         6.59956         0.16075        
1.79560         1.74960         0.04600        
1.79560         1.74960         0.04600        
-3.16929        -3.10082        0.06847        
3.47307         3.49520         0.02213        
-9.88921        -9.88386        0.00535        
-4.54303        -4.53333        0.00970        
-8.98982        -9.02562        0.03580        
8.30174         8.33626         0.03452        
0.38935         0.45844         0.06909        
10.28724        10.29378        0.00654        
0.97066         0.85913         0.11154        
4.06426         4.09184         0.02757        
-18.99886       -18.91267       0.08619        
-8.66190        -8.62668        0.03522        
-16.99843       -16.63144       0.36699        
10.59729        10.55316        0.04414        
-0.85271        -0.84200        0.01071        
25.69909        25.21391        0.48518        
5.15126         5.15389         0.00263        
5.70610         5.65297         0.05313        
-30.18031       -30.32496       0.14465        
-16.07048       -16.01386       0.05663        
-38.54452       -40.26455       1.72003        
13.26851        13.25235        0.01615        
-2.04309        -2.04532        0.00222        
57.79866        59.65047        1.85181        
10.06514        10.09288        0.02775        
-0.00000        -0.00000        0.00000        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
-0.00000        0.00000         0.00000        
-0.00000        0.00000         0.00000        
0.00000         0.00000         0.00000        
0.24504         0.22770         0.01734        
-6.72885        -6.72325        0.00560        
-2.52261        -2.58865        0.06604        
-1.12739        -1.19856        0.07117        
1.11277         1.14229         0.02952        
-1.16500        -1.11115        0.05385        
6.54688         6.65294         0.10606        
3.63917         3.59869         0.04048        
0.79558         0.86208         0.06650        
-14.30412       -14.38022       0.07611        
-6.54424        -6.64724        0.10299        
-5.25022        -5.22881        0.02141        
2.56339         2.66860         0.10522        
-2.43504        -2.44424        0.00920        
17.60398        17.69294        0.08896        
7.57068         7.47689         0.09379        
2.37559         2.49942         0.12383        
-23.56445       -23.48262       0.08183        
-13.89595       -13.73698       0.15897        
-17.53564       -18.01916       0.48352        
4.07579         4.04949         0.02630        
-3.89490        -4.09308        0.19818        
40.22548        40.64701        0.42153        
12.21407        12.13592        0.07815        
-2.19036        -2.21210        0.02174        
1.20883         1.22180         0.01297        
1.20883         1.22180         0.01297        
4.60785         4.65573         0.04788        
-4.60785        -4.65573        0.04788        
-1.20883        -1.22180        0.01297        
-1.20883        -1.22180        0.01297        
2.19036         2.21210         0.02174        
-1.95337        -1.96499        0.01162        
-4.42546        -4.38350        0.04196        
-1.10568        -1.13823        0.03255        
4.26361         4.25272         0.01089        
-3.80430        -3.78338        0.02092        
-2.24587        -2.17592        0.06995        
3.95552         3.96015         0.00463        
5.31555         5.23314         0.08241        
-1.41100        -1.34366        0.06734        
-10.76202       -10.94479       0.18277        
-5.00837        -5.11757        0.10920        
2.89531         2.87798         0.01733        
-2.94462        -2.99854        0.05392        
-3.57887        -3.46188        0.11699        
11.93306        12.12793        0.19487        
8.87651         8.86052         0.01599        
0.18559         0.24648         0.06089        
-18.49096       -18.36505       0.12591        
-12.26853       -12.13135       0.13719        
-2.94025        -2.50034        0.43991        
-2.30910        -2.27306        0.03605        
-5.28985        -5.36985        0.08000        
27.91199        27.33978        0.57221        
13.20112        13.05338        0.14774        
-3.69541        -3.66835        0.02706        
2.00021         2.00765         0.00745        
2.00021         2.00765         0.00745        
7.69461         7.66139         0.03322        
-7.69461        -7.66139        0.03322        
-2.00021        -2.00765        0.00745        
-2.00021        -2.00765        0.00745        
3.69541         3.66835         0.02706        
-3.42716        -3.47262        0.04546        
-2.74306        -2.64470        0.09836        
-0.11527        -0.16707        0.05180        
7.90880         7.84986         0.05894        
-7.09532        -7.02641        0.06891        
-3.00275        -2.95108        0.05167        
2.17446         2.14694         0.02753        
6.30030         6.26509         0.03521        
-2.85608        -2.90028        0.04420        
-8.07660        -8.23548        0.15888        
